noise_frac,geometry,sigma_J,numerical_rank,effective_rank,condition_number,coefficient_relative_error,residual_norm,min_visibility
0.0,separated,3.273974,2,2,8.894849,0.0,0.0,3.274887
0.01,separated,3.273974,2,2,8.894849,0.013187,1.27302,3.274887
0.05,separated,3.273974,2,2,8.894849,0.065937,6.365102,3.274887
0.1,separated,3.273974,2,2,8.894849,0.131873,12.730204,3.274887
0.2,separated,3.273974,2,2,8.894849,0.263747,25.460408,3.274887
0.0,close,9.598349,2,2,2.263032,0.0,0.0,12.097923
0.01,close,9.598349,2,2,2.263032,0.005665,1.684167,12.097923
0.05,close,9.598349,2,2,2.263032,0.028325,8.420834,12.097923
0.1,close,9.598349,2,2,2.263032,0.056651,16.841667,12.097923
0.2,close,9.598349,2,2,2.263032,0.113302,33.683334,12.097923
