wind_provider,wind,layout,sigma_J,numerical_rank,max_eligible_coherence,coefficient_relative_error
constant_direction,constant,regulatory,1.526926,2,0.975115,0.0
constant_direction,constant,random,0.0,2,0.028406,4e-06
constant_direction,constant,downwind,0.125677,2,0.989677,0.0
single_direction_synthetic,single,regulatory,6.44243,2,0.741096,0.0
single_direction_synthetic,single,random,1e-06,2,0.999983,0.573115
single_direction_synthetic,single,downwind,1.362939,2,0.99011,0.0
diurnal_synthetic,diurnal,regulatory,6.111524,2,0.721872,0.0
diurnal_synthetic,diurnal,random,2.4e-05,2,0.880117,0.000896
diurnal_synthetic,diurnal,downwind,2.604398,2,0.897464,0.0
ar1_synthetic,ar1,regulatory,7.35123,2,0.640798,0.0
ar1_synthetic,ar1,random,6.6e-05,2,0.773931,0.115098
ar1_synthetic,ar1,downwind,2.14415,2,0.915978,0.0
multi_direction_synthetic,multi,regulatory,5.698914,2,0.1288,0.0
multi_direction_synthetic,multi,random,2.794802,2,0.321684,0.0
multi_direction_synthetic,multi,downwind,0.410317,2,0.109755,0.0
gridded_kernel_new_delhi,real,regulatory,2.845609,2,0.155812,0.0
gridded_kernel_new_delhi,real,random,2.102207,2,0.287236,0.0
gridded_kernel_new_delhi,real,downwind,0.379748,2,0.220531,0.0
