perturbation_kind,perturbation_value,operator_error_norm,sigma_J,singular_values,coefficient_relative_error,residual_norm
wind_direction_deg,0.0,0.0,0.865305,"[21.138254,0.865305]",0.0,0.0
wind_direction_deg,5.0,0.28799,3.369168,"[21.569815,3.369168]",0.622829,3.627949
wind_direction_deg,10.0,0.59723,7.068079,"[21.414989,7.068079]",0.79715,6.951087
wind_direction_deg,20.0,0.86758,7.97813,"[15.362633,7.97813]",0.861271,10.750982
wind_speed_factor,1.0,0.0,0.865305,"[21.138254,0.865305]",0.0,0.0
wind_speed_factor,1.25,0.288187,2.088865,"[19.601894,2.088865]",0.450884,1.782354
wind_speed_factor,1.5,0.52893,4.566836,"[19.235006,4.566836]",0.273777,1.55143
dispersion_factor,1.0,0.0,0.865305,"[21.138254,0.865305]",0.0,0.0
dispersion_factor,1.5,0.189049,1.417145,"[17.677014,1.417145]",0.496889,1.258896
dispersion_factor,2.0,0.351806,1.759434,"[14.722803,1.759434]",0.89331,2.516423
