week,monitor,brick_kilns,industries,population_density,traffic
1,reg_0_19,0.0,0.0,-206.551562,0.0
1,reg_11_0,0.0,0.0,-136.641945,0.0
1,reg_11_39,0.0,0.0,-282.825462,0.0
1,reg_12_13,0.0,0.0,1262.347513,0.0
1,reg_12_37,0.0,0.0,3.702619,0.0
1,reg_14_28,0.0,0.0,1846.046252,0.0
1,reg_16_24,0.0,0.0,258.239437,0.0
1,reg_16_25,0.0,0.0,938.447786,0.0
1,reg_18_32,0.0,0.0,1387.08437,0.0
1,reg_19_37,0.0,0.0,-419.282677,0.0
1,reg_21_13,0.0,0.0,-79.369691,0.0
1,reg_21_31,0.0,0.0,-262.372199,0.0
1,reg_23_23,0.0,0.0,256.566114,0.0
1,reg_23_36,0.0,0.0,-475.624566,0.0
1,reg_25_11,0.0,0.0,-280.016916,0.0
1,reg_27_17,0.0,0.0,-184.093795,0.0
1,reg_28_15,0.0,0.0,-323.595703,0.0
1,reg_28_20,0.0,0.0,-101.327903,0.0
1,reg_30_14,0.0,0.0,-237.05531,0.0
1,reg_30_22,0.0,0.0,-52.8208,0.0
1,reg_30_33,0.0,0.0,-470.829662,0.0
1,reg_32_4,0.0,0.0,-494.33947,0.0
1,reg_33_11,0.0,0.0,-414.775174,0.0
1,reg_33_8,0.0,0.0,-645.181465,0.0
1,reg_35_21,0.0,0.0,118.037815,0.0
1,reg_37_29,0.0,0.0,-457.439651,0.0
1,reg_39_25,0.0,0.0,-577.072582,0.0
1,reg_39_28,0.0,0.0,-608.363188,0.0
1,reg_5_14,0.0,0.0,639.107814,0.0
2,reg_0_19,0.0,-232.589993,-884.243476,-47.210043
2,reg_11_0,0.0,-197.43419,-675.138199,-36.40506
2,reg_11_39,0.0,-104.313736,-534.209607,-26.561746
2,reg_12_13,0.0,92.716338,2488.695005,224.777314
2,reg_12_37,0.0,10.33084,-175.226479,-34.339611
2,reg_14_28,0.0,30.245638,3202.217656,5.92758
2,reg_16_24,0.0,-63.88316,756.135348,42.663491
2,reg_16_25,0.0,-68.410661,2006.471547,20.941693
2,reg_18_32,0.0,812.507541,2197.072013,-3.140909
2,reg_19_37,0.0,-44.433733,-830.82802,-24.201712
2,reg_21_13,0.0,-85.990274,-89.885327,-2.234793
2,reg_21_31,0.0,217.911791,-472.640998,-6.544542
2,reg_23_23,0.0,-163.168164,574.370882,-0.425855
2,reg_23_36,0.0,-64.511338,-631.78919,-2.979409
2,reg_25_11,0.0,-15.186144,-117.281875,-4.458508
2,reg_27_17,0.0,-83.562116,202.100233,-4.029745
2,reg_28_15,0.0,-45.94317,-96.929252,-12.932426
2,reg_28_20,0.0,-147.83032,210.85701,247.919935
2,reg_30_14,0.0,-40.20719,-246.586927,-7.911509
2,reg_30_22,0.0,-122.182251,25.326531,2.579618
2,reg_30_33,0.0,-112.533602,-869.112161,-25.821512
2,reg_32_4,0.0,478.149175,-767.186213,-21.097505
