experiment,hypothesis,coefficient_relative_error,grouped_coef_error,identifiability_flag,method,reported_coef_error,residual_norm,scenario,share_l2_error
exp11_baseline_comparison,baselines,0.5734641853643279,0.41072019913182367,True,IASA,0.41072019913182367,8.592190502028246e-12,wind_geometry_collapse,4.7696004629037585e-09
exp11_baseline_comparison,baselines,0.5734641893621341,0.4107202020023883,,plain_nnls_B1,0.5734641893621341,8.592190502028248e-12,wind_geometry_collapse,4.769600479499619e-09
exp11_baseline_comparison,baselines,2.2327196222298317e+18,1.6031656613581402e+18,,cmb_B3,2.2327196222298317e+18,3.2289399034752964,wind_geometry_collapse,1.4142135576034947
exp11_baseline_comparison,baselines,,,,pmf_nmf_B2,,,wind_geometry_collapse,0.08450049136452703
exp11_baseline_comparison,baselines,0.7753805491741219,,True,IASA,0.7753805491741219,6.851814904659,background_stress,0.00606305777714288
exp11_baseline_comparison,baselines,278072286815688.4,,,plain_nnls_B1,278072286815688.4,6.851779328781273,background_stress,1.2309089151396237
exp11_baseline_comparison,baselines,2.405465690159915,,,cmb_B3,2.405465690159915,152.38014347873445,background_stress,0.1885193815972183
exp11_baseline_comparison,baselines,,,,pmf_nmf_B2,,,background_stress,1.1518242410072588
exp11_baseline_comparison,baselines,0.9999999793100004,0.9999999740940335,True,IASA,0.9999999740940335,1.0005116945738821e-12,wind_geometry_collapse,1.4142135497123516
exp11_baseline_comparison,baselines,212164147.997632,152340791.89399126,,plain_nnls_B1,212164147.997632,1.0004944951025315e-12,wind_geometry_collapse,1.4142135497123516
exp11_baseline_comparison,baselines,2.866109292079989e+22,2.0579601455615022e+22,,cmb_B3,2.866109292079989e+22,3.2296085885542536,wind_geometry_collapse,1.4142135497123516
exp11_baseline_comparison,baselines,,,,pmf_nmf_B2,,,wind_geometry_collapse,0.12276689440417132
exp11_baseline_comparison,baselines,0.4120558275863822,,True,IASA,0.4120558275863822,17.887634369634938,background_stress,0.003079598130278418
exp11_baseline_comparison,baselines,439120246990074.5,,,plain_nnls_B1,439120246990074.5,17.887542593870343,background_stress,1.300948659292736
exp11_baseline_comparison,baselines,1.405213043853502,,,cmb_B3,1.405213043853502,152.97669535014688,background_stress,0.12017435046890804
exp11_baseline_comparison,baselines,,,,pmf_nmf_B2,,,background_stress,1.1905659860195894
exp11_baseline_comparison,baselines,0.050035550488288616,0.006259547235649568,True,IASA,0.006259547235649568,0.014501581294011084,wind_geometry_collapse,0.03611337578647059
exp11_baseline_comparison,baselines,0.050101777353966204,0.006262017120287557,,plain_nnls_B1,0.050101777353966204,0.014501581293745158,wind_geometry_collapse,0.03616096681502815
exp11_baseline_comparison,baselines,11.145589385308009,7.580532677915667,,cmb_B3,11.145589385308009,3.2289084042645264,wind_geometry_collapse,0.5587924727359268
exp11_baseline_comparison,baselines,,,,pmf_nmf_B2,,,wind_geometry_collapse,0.30371444663514074
exp11_baseline_comparison,baselines,0.399155793817581,,True,IASA,0.399155793817581,14.183324389720426,background_stress,0.007897757516525435
exp11_baseline_comparison,baselines,361674468055040.94,,,plain_nnls_B1,361674468055040.94,14.183282646595632,background_stress,1.2572243104658156
exp11_baseline_comparison,baselines,1.9084578632130482,,,cmb_B3,1.9084578632130482,153.32626727671826,background_stress,0.1863456862512029
exp11_baseline_comparison,baselines,,,,pmf_nmf_B2,,,background_stress,1.1827580160914009
