window_index,window_start,window_end,status,source_group,sensor_signal_share,n_observed_rows,observed_mask_fraction,sigma_J,numerical_rank,condition_status,max_eligible_coherence,residual_norm,calibration_status
1,2018-05-01 00:00:00+05:30,2018-05-07 23:00:00+05:30,ok,brick_kilns,0.0,4561,0.8484002976190477,3.714655171511027,7,finite,0.31647012633040633,3768.200619160978,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
1,2018-05-01 00:00:00+05:30,2018-05-07 23:00:00+05:30,ok,industries,0.0,4561,0.8484002976190477,3.714655171511027,7,finite,0.31647012633040633,3768.200619160978,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
1,2018-05-01 00:00:00+05:30,2018-05-07 23:00:00+05:30,ok,population_density,1.0,4561,0.8484002976190477,3.714655171511027,7,finite,0.31647012633040633,3768.200619160978,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
1,2018-05-01 00:00:00+05:30,2018-05-07 23:00:00+05:30,ok,traffic,0.0,4561,0.8484002976190477,3.714655171511027,7,finite,0.31647012633040633,3768.200619160978,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
2,2018-05-08 00:00:00+05:30,2018-05-14 23:00:00+05:30,ok,brick_kilns,0.0,4278,0.7957589285714286,5.670983650944962,7,finite,0.3553261751851249,5955.26547977827,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
2,2018-05-08 00:00:00+05:30,2018-05-14 23:00:00+05:30,ok,industries,0.1571343602737977,4278,0.7957589285714286,5.670983650944962,7,finite,0.3553261751851249,5955.26547977827,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
2,2018-05-08 00:00:00+05:30,2018-05-14 23:00:00+05:30,ok,population_density,0.8053654901445242,4278,0.7957589285714286,5.670983650944962,7,finite,0.3553261751851249,5955.26547977827,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
2,2018-05-08 00:00:00+05:30,2018-05-14 23:00:00+05:30,ok,traffic,0.037500149581678036,4278,0.7957589285714286,5.670983650944962,7,finite,0.3553261751851249,5955.26547977827,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
3,2018-05-15 00:00:00+05:30,2018-05-21 23:00:00+05:30,ok,brick_kilns,0.05587015879181318,4315,0.8026413690476191,10.15415246679485,7,finite,0.4955679957855132,3049.8739327133726,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
3,2018-05-15 00:00:00+05:30,2018-05-21 23:00:00+05:30,ok,industries,0.0,4315,0.8026413690476191,10.15415246679485,7,finite,0.4955679957855132,3049.8739327133726,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
3,2018-05-15 00:00:00+05:30,2018-05-21 23:00:00+05:30,ok,population_density,0.9441298412081868,4315,0.8026413690476191,10.15415246679485,7,finite,0.4955679957855132,3049.8739327133726,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
3,2018-05-15 00:00:00+05:30,2018-05-21 23:00:00+05:30,ok,traffic,0.0,4315,0.8026413690476191,10.15415246679485,7,finite,0.4955679957855132,3049.8739327133726,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
4,2018-05-22 00:00:00+05:30,2018-05-28 23:00:00+05:30,ok,brick_kilns,0.9349028387682647,4236,0.7879464285714286,7.646498251686868,7,finite,0.47509698571287534,3760.1682650668026,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
4,2018-05-22 00:00:00+05:30,2018-05-28 23:00:00+05:30,ok,industries,0.06509716123173523,4236,0.7879464285714286,7.646498251686868,7,finite,0.47509698571287534,3760.1682650668026,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
4,2018-05-22 00:00:00+05:30,2018-05-28 23:00:00+05:30,ok,population_density,0.0,4236,0.7879464285714286,7.646498251686868,7,finite,0.47509698571287534,3760.1682650668026,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
4,2018-05-22 00:00:00+05:30,2018-05-28 23:00:00+05:30,ok,traffic,0.0,4236,0.7879464285714286,7.646498251686868,7,finite,0.47509698571287534,3760.1682650668026,"uncalibrated: no external calibrated noise model exists for observed PM2.5, so per the paper's adequacy contract the residual adequacy test emits no pass/fail verdict"
