Monitor ID,Latitude,Longitude,Location
AnandVihar_DPCC,28.646835,77.316032,"Anand Vihar, Delhi - DPCC"
AshokVihar_DPCC,28.695381,77.181665,"Ashok Vihar, Delhi - DPCC"
AyaNagar_IMD,28.4706914,77.1099364,"Aya Nagar, New Delhi - IMD"
BurariCrossing_IMD,28.7256504,77.2011573,"Burari Crossing, New Delhi - IMD"
CRRIMathuraRoad_IMD,28.5512005,77.2735737,"CRRI Mathura Road, New Delhi - IMD"
DKSSR_DPCC,28.498571,77.26484,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
DTU_CPCB,28.7500499,77.1112615,"DTU, New Delhi - CPCB"
DwarkaSector8_DPCC,28.5710274,77.0719006,"Dwarka-Sector 8, Delhi - DPCC "
EastArjunNagar_CPCB,28.6556017,77.2859318,"East Arjun Nagar, Delhi - CPCB"
IGIAirport_IMD,28.5627763,77.1180053,"IGI Airport (T3), New Delhi - IMD"
IHBAS_CPCB,28.6811736,77.3025234,"IHBAS, Dilshad Garden,New Delhi - CPCB"
ITO_CPCB,28.6316945,77.2494387,"ITO, New Delhi - CPCB"
JNS_DPCC,28.58028,77.233829,"Jawaharlal Nehru Stadium, Delhi - DPCC"
Jahangirpuri_DPCC,28.73282,77.170633,"Jahangirpuri, Delhi - DPCC"
LodhiRoad_IMD,28.5918245,77.2273074,"Lodhi Road, New Delhi - IMD"
MDCNS_DPCC,28.611281,77.237738,"Major Dhyan Chand National Stadium, Delhi - DPCC"
MandirMarg_DPCC,28.636429,77.201067,"Mandir Marg, New Delhi - DPCC"
Mundaka_DPCC,28.684678,77.076574,"Mundaka, Delhi - DPCC"
NSIT_CPCB,28.60909,77.0325413,"NSIT Dwarka, New Delhi - CPCB"
NehruNagar_DPCC,28.56789,77.250515,"Nehru Nagar, Delhi - DPCC"
OkhlaPhase2_DPCC,28.530785,77.271255,"Okhla Phase-2, Delhi - DPCC"
Patparganj_DPCC,28.623748,77.287205,"Patparganj, Delhi - DPCC"
PunjabiBagh_DPCC,28.674045,77.131023,"Punjabi Bagh, Delhi - DPCC"
Pusa_DPCC,28.639645,77.146262,"Pusa, Delhi - DPCC"
Pusa_IMD,28.639645,77.146263,"Pusa, New Delhi - IMD"
RKPuram_DPCC,28.563262,77.186937,"R K Puram, New Delhi - DPCC"
Rohini_DPCC,28.732528,77.11992,"Rohini, Delhi - DPCC"
Shadipur_CPCB,28.6514781,77.1473105,"Shadipur, New Delhi - CPCB"
Sirifort_CPCB,28.5504249,77.2159377,"Sirifort, New Delhi - CPCB"
SoniaVihar_DPCC,28.710508,77.249485,"Sonia Vihar, Delhi - DPCC"
SriAurobindoMarg_DPCC,28.531346,77.190156,"Sri Aurobindo Marg, Delhi - DPCC"
VivekVihar_DPCC,28.672342,77.31526,"Vivek Vihar, Delhi - DPCC"
Wazirpur_DPCC,28.699793,77.165453,"Wazirpur, Delhi - DPCC"
